"Domain","Title","Category"
"cooking.ezinemark.com","cooking ","Food & Drink"
"y8.lv","Flash speles y8lv","Arts & Entertainment"
"gbemiga.quazen.com","404","Arts & Entertainment"
"tvservicemenu.blogspot.hu","Blogger","Online Communities"
"blogjob.com","Home  BlogJob","Online Communities"
"photo05.com","Photography Art  PHOTO05COM","Arts & Entertainment"
"datta-sat.com","  ","Arts & Entertainment"
"test.deals4india.in","Latest Online Deals  Deals4India  Best Deals Online","Arts & Entertainment"
"tgaidhane.blogspot.de","Technology News","News"
"stumbleupon.com","Explore more Web pages photos and videos  StumbleUponcom","Internet & Telecom"
"spa-pictures.bloginterior.com","Spa Treatments","Arts & Entertainment"
"mylovemyfood.blogspot.com","My Love 8226 My Food","Food & Drink"
"crochetncrafts.com","CrochetN039Crafts  FREE Crochet Patterns amp More","News"
"romfromblog.blogspot.com","ROM BLOG","Internet & Telecom"
"prepare4examshere.com","Bank Clerk PO Exam Hub","Online Communities"
"hidden-science.blogspot.com.au","Free Downloadable BooksBSCSC programmingBCSphysicscalculusFree BooksFree ebooksCT20database designthe c programming languagedatabase software developmentprograming basicsc programming tutorialsprograming for dummiescplusplus","Computers & Electronics"
"aatmavishvash.blogspot.com","Mind body and soul healing","Arts & Entertainment"
"info519.blogspot.com.br","Info519","Internet & Telecom"
"venezuela.sumavisos.com.ve","Propiedades en Venezuela Autos en Venezuela Empleos en Venezuela Avisos gratis en Venezuela  Sumavisos Venezuela","Shopping"
"new-york.ny.used-cars.info","Buy New York Cars for Sale by Owner New York Trucks Sell  Used Car in New York NY Auto Dealers New York Car Dealers Auto Services Buy Sell Car Truck Van Suv Sedan Motorcycle Bike Boat Motor Vehicles in New York","Shopping"
"filipino-remittance.blogspot.co.nz","Filipino Abroad Remittance Corner","Food & Drink"
"khabartoday.net","KHABAR TODAY  Khabar Today MediaNewsPublishing","News"
"achefshelp.com","Home of A Chefs Help","Arts & Entertainment"
"kuri007.blogspot.be","Punjabi Kuri 007","Arts & Entertainment"
"cocktailmixing.com","Cocktail Mixing","Arts & Entertainment"
"photokayaker.fit2paddle.com","Recent Posts laquo paddling with a camera","Internet & Telecom"
"findwithme.com"," Findwithmecom  Post or Find Your Needy Articles For Free","News"
"burbank.ca.house.info","Burbank CA Real Estate Burbank Apartments Burbank Homes Burbank Condos Burbank CA Houses Burbank Rentals ","Real Estate"
"asssis.com.clearwebstats.com","asssiscom  ","Arts & Entertainment"
"mumbaiuni.blogspot.in","Mumbai Universitys Home","Home & Garden"
"sur.ly","Surly keeping usergenerated outbound links under control","Computers & Electronics"
"webfemulate.blogspot.com","tHe Art oF feMuLate ","Food & Drink"
"chaonechoan.com","Chaonechoan Blog   Cerita Sejarah dan Legenda","Internet & Telecom"
